HexID	DateTime	Latitude	Longitude	Altitude
A327A9	2019/07/12 04:27:58.234	19.79234	-154.98049	7075
A327A9	2019/07/12 04:27:59.324	19.79361	-154.98021	7125
A327A9	2019/07/12 04:28:00.264	19.79475	-154.97991	7150
A327A9	2019/07/12 04:28:04.016	19.79937	-154.97879	7325
A327A9	2019/07/12 04:28:10.149	19.80693	-154.97712	7750
A327A9	2019/07/12 04:28:11.149	19.80817	-154.97687	7825
A327A9	2019/07/12 04:28:12.110	19.80936	-154.97668	7900
A327A9	2019/07/12 04:28:15.131	19.81311	-154.97604	8175
A327A9	2019/07/12 04:28:20.753	19.82007	-154.97520	8625
A327A9	2019/07/12 04:28:21.714	19.82126	-154.97511	8700
A327A9	2019/07/12 04:28:22.754	19.82259	-154.97501	8800
A327A9	2019/07/12 04:28:23.794	19.82387	-154.97496	8875
A327A9	2019/07/12 04:28:24.845	19.82515	-154.97489	8975
